Reef,Date,Polygon,Cardinal Direction,Reef Direction,Start Time,End Time,Polygon Survey Time,Manta Tow COTS _Estimated*,Notes,,,,,
21-057,17/01/2024,13,East to West,Anti-Clockwise,17/01/2024 9:26:56,17/01/2024 9:33:25,06:29,0,,,,,,
21-057,17/01/2024,12,East to West,Anti-Clockwise,17/01/2024 9:33:25,17/01/2024 9:39:32,06:07,0,,,,,,
21-057,17/01/2024,11,East to West,Anti-Clockwise,17/01/2024 9:39:32,17/01/2024 9:49:04,09:32,0,,,,,,
21-057,17/01/2024,42,West to East,Anti-Clockwise,17/01/2024 11:00:21,17/01/2024 11:06:36,06:15,0,,,,,,
21-057,17/01/2024,41,West to East,Anti-Clockwise,17/01/2024 11:06:36,17/01/2024 11:15:45,09:09,0,,,,,,
21-057,17/01/2024,40,West to East,Anti-Clockwise,17/01/2024 11:15:45,17/01/2024 11:23:25,07:40,0,,,,,,
21-057,17/01/2024,39,West to East,Anti-Clockwise,17/01/2024 11:23:25,17/01/2024 11:29:27,06:02,0,,,,,,
21-057,17/01/2024,38,West to East,Anti-Clockwise,17/01/2024 11:29:27,17/01/2024 11:35:43,06:16,0,,,,,,
21-057,17/01/2024,37,West to East,Anti-Clockwise,17/01/2024 11:35:43,17/01/2024 11:42:09,06:26,0,,,,,,
21-057,18/01/2024,44,South to North,Anti-Clockwise,18/01/2024 8:25:26,18/01/2024 8:41:11,15:45,0,,,,,,
21-057,18/01/2024,45,South to North,Anti-Clockwise,18/01/2024 8:41:11,18/01/2024 8:47:23,06:12,0,,,,,,
21-057,18/01/2024,46,South to North,Anti-Clockwise,18/01/2024 8:47:23,18/01/2024 8:52:56,05:33,0,,,,,,
21-057,18/01/2024,47,South to North,Anti-Clockwise,18/01/2024 8:52:56,18/01/2024 8:58:23,05:27,0,,,,,,
21-057,18/01/2024,48,South to North,Anti-Clockwise,18/01/2024 8:58:23,18/01/2024 9:03:52,05:29,0,,,,,,
21-057,18/01/2024,35,West to East,Anti-Clockwise,18/01/2024 9:46:39,18/01/2024 9:53:36,06:57,0,,,,,,
21-057,18/01/2024,34,West to East,Anti-Clockwise,18/01/2024 9:53:36,18/01/2024 9:59:59,06:23,0,,,,,,
21-057,18/01/2024,33,West to East,Anti-Clockwise,18/01/2024 9:59:59,18/01/2024 10:06:14,06:15,0,,,,,,
21-057,18/01/2024,32,West to East,Anti-Clockwise,18/01/2024 10:06:14,18/01/2024 10:12:48,06:34,0,,,,,,
21-057,18/01/2024,31,West to East,Anti-Clockwise,18/01/2024 10:12:48,18/01/2024 10:18:35,05:47,0,,,,,,
21-057,18/01/2024,30,West to East,Anti-Clockwise,18/01/2024 10:18:35,18/01/2024 10:25:08,06:33,0,,,,,,
21-057,18/01/2024,29,West to East,Anti-Clockwise,18/01/2024 10:25:08,18/01/2024 10:39:10,14:02,0,,,,,,
21-057,18/01/2024,28,West to East,Anti-Clockwise,18/01/2024 10:39:10,18/01/2024 10:45:26,06:16,0,,,,,,
21-057,18/01/2024,27,West to East,Anti-Clockwise,18/01/2024 10:45:26,18/01/2024 10:52:18,06:52,0,,,,,,
21-057,18/01/2024,26,West to East,Anti-Clockwise,18/01/2024 10:52:18,18/01/2024 10:59:13,06:55,0,,,,,,
21-465,19/01/2024,1,West to East,Anti-Clockwise,19/01/2024 9:02:53,19/01/2024 9:12:13,09:20,0,,,,,,
21-465,19/01/2024,43,West to East,Anti-Clockwise,19/01/2024 9:12:13,19/01/2024 9:21:14,09:01,0,,,,,,
21-465,19/01/2024,55,North to South,Clockwise,19/01/2024 9:55:50,19/01/2024 10:05:06,09:16,0,,,,,,
21-465,19/01/2024,52,North to South,Clockwise,19/01/2024 10:04:44,19/01/2024 10:10:35,05:51,0,,,,,,
21-465,19/01/2024,15,North to South,Clockwise,19/01/2024 10:27:41,19/01/2024 10:32:23,04:42,0,,,,,,
21-465,19/01/2024,16,North to South,Clockwise,19/01/2024 10:32:23,19/01/2024 10:38:45,06:22,0,,,,,,
21-465,19/01/2024,17_a,North to South,Clockwise,19/01/2024 10:38:45,19/01/2024 10:41:14,02:29,0,Path clipped part of the Poly,,,,,
21-465,19/01/2024,17_b,North to South,Clockwise,19/01/2024 10:48:03,19/01/2024 10:54:41,06:38,0,Path re-entered the Poly,,,,,
21-465,19/01/2024,18,North to South,Clockwise,19/01/2024 10:54:41,19/01/2024 11:02:50,08:09,0,,,,,,
21-465,19/01/2024,19,North to South,Clockwise,19/01/2024 11:02:50,19/01/2024 11:09:57,07:07,0,,,,,,
21-551,20/01/2024,10,North to South,Clockwise,20/01/2024 7:59:42,20/01/2024 8:10:52,11:10,0,,,,,,
21-551,20/01/2024,11,North to South,Clockwise,20/01/2024 8:10:52,20/01/2024 8:17:25,06:33,11,Most in the start of the Polygon,,,,,
21-551,20/01/2024,12,North to South,Clockwise,20/01/2024 8:17:25,20/01/2024 8:24:37,07:12,1,,,,,,
21-551,20/01/2024,13,North to South,Clockwise,20/01/2024 8:24:37,20/01/2024 8:34:03,09:26,3,,,,,,
21-551,20/01/2024,14,North to South,Clockwise,20/01/2024 8:34:03,20/01/2024 8:45:45,11:42,5,,,,,,
21-551,20/01/2024,15,North to South,Clockwise,20/01/2024 8:45:45,20/01/2024 8:52:05,06:20,21,,,,,,
21-551,20/01/2024,16,North to South,Clockwise,20/01/2024 8:52:05,20/01/2024 8:59:31,07:26,7,,,,,,
21-551,20/01/2024,17,North to South,Clockwise,20/01/2024 8:59:31,20/01/2024 9:04:51,05:20,78,,,,,,
21-551,20/01/2024,18,North to South,Clockwise,20/01/2024 9:04:51,20/01/2024 9:10:46,05:55,100,Most in the start of the Polygon,,,,,
21-551,20/01/2024,19,North to South,Clockwise,20/01/2024 9:10:46,20/01/2024 9:37:49,27:03,0,Longer time to include change of manta towers,,,,,
21-551,20/01/2024,20,North to South,Clockwise,20/01/2024 9:37:49,20/01/2024 9:43:58,06:09,0,,,,,,
21-551,20/01/2024,21,North to South,Clockwise,20/01/2024 9:43:58,20/01/2024 9:51:37,07:39,0,,,,,,
21-551,20/01/2024,22,North to South,Clockwise,20/01/2024 9:51:37,20/01/2024 10:00:26,08:49,0,,,,,,
21-551,20/01/2024,23,North to South,Clockwise,20/01/2024 10:00:26,20/01/2024 10:06:32,06:06,0,,,,,,
21-551,20/01/2024,33,North to South,Clockwise,20/01/2024 10:41:43,20/01/2024 10:51:44,10:01,8,,,,,,